,Date,time,hosts
0,2017-08-16,22:59,7
1,2017-08-16,23:00,7
2,2017-08-16,23:00,7
3,2017-08-16,23:01,7
4,2017-08-16,23:01,5
5,2017-08-16,23:03,7
6,2017-08-16,23:03,7
7,2017-08-16,23:04,7
8,2017-08-16,23:04,7
9,2017-08-16,23:05,6
10,2017-08-16,23:05,4
11,2017-08-16,23:06,2
12,2017-08-16,23:07,7
13,2017-08-16,23:08,7
14,2017-08-16,23:09,0
15,2017-08-16,23:28,1
16,2017-08-16,23:28,2
17,2017-08-16,23:29,2
18,2017-08-16,23:30,4
19,2017-08-16,23:30,6
20,2017-08-16,23:31,5
21,2017-08-16,23:31,4
22,2017-08-16,23:32,6
23,2017-08-16,23:33,6
24,2017-08-16,23:33,6
25,2017-08-16,23:35,2
26,2017-08-17,22:42,138
27,2017-08-17,23:41,7
28,2017-08-17,23:54,186
29,2017-08-18,14:31,4
30,2017-08-18,14:32,198
31,2017-08-18,15:36,135
32,2017-08-18,19:45,194
33,2017-08-19,01:14,190
34,2017-08-19,02:37,189
35,2017-08-19,03:37,189
36,2017-08-19,15:19,197
37,2017-08-19,16:56,197
38,2017-08-19,23:05,91
39,2017-08-20,08:06,105
40,2017-08-20,13:55,79
41,2017-08-20,15:00,42
42,2017-08-20,16:05,0
43,2017-08-20,17:58,195
44,2017-08-20,21:16,113
45,2017-08-21,00:21,193
46,2017-08-21,13:45,4
